特－５図　共働き世帯数と専業主婦世帯数の推移（妻が64歳以下の世帯）,,,,
,,,,（万世帯）
,男性雇用者と無業の妻から成る世帯（妻64歳以下）,雇用者の共働き世帯（妻64歳以下）,男性雇用者と無業の妻から成る世帯（岩手県，宮城県及び福島県を除く）（妻64歳以下）,雇用者の共働き世帯（岩手県，宮城県及び福島県を除く）（妻64歳以下）
昭和60（1985）年,936,718,,
61（1986）年,935,716,,
62（1987）年,914,744,,
63（1988）年,930,765,,
平成元（1989）年,913,777,,
2（1990）年,875,818,,
3（1991）年,864,871,,
4（1992）年,877,905,,
5（1993）年,885,920,,
6（1994）年,899,934,,
7（1995）年,920,899,,
8（1996）年,901,918,,
9（1997）年,881,940,,
10（1998）年,848,944,,
11（1999）年,873,917,,
12（2000）年,878,929,,
13（2001）年,847,937,,
14（2002）年,849,937,,
15（2003）年,824,932,,
16（2004）年,834,944,,
17（2005）年,816,969,,
18（2006）年,803,956,,
19（2007）年,794,990,,
20（2008）年,764,985,,
21（2009）年,768,971,,
22（2010）年,737,986,713,947
23（2011）年,,,718,971
24（2012）年,714,1023,,
25（2013）年,671,1035,,
26（2014）年,641,1043,,
27（2015）年,602,1075,,
28（2016）年,572,1087,,
29（2017）年,541,1136,,
30（2018）年,506,1164,,
令和元（2019）年,475,1184,,
2（2020）年,466,1180,,
3（2021）年,461,1187,,
4（2022）年,430,1191,,
5（2023）年,404,1206,,
6（2024）年,398,1222,,
7（2025）年,358,1254,,
